ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
1100313	5	N	11	73	66000	22.324	22.215	32.79154	-117.20716		FR	1	Clairemont Dr to 5 NB	1			
1100323	5	N	11	73	66000	34.142	34.033	32.950106	-117.243571		FR	2	Del Mar Heights Rd to 5 NB	1			
1100326	5	N	11	73	66000	36.23	36.121	32.979329	-117.252709		FR	2	Via de la Valle EB to 5 NB	1			
1100330	5	N	11	73	72506	37.386	37.277	32.995723	-117.256395		FR	2	Lomas Santa Fe Dr EB to 5 NB	1			
1100340	5	N	11	73	11194	47.165	47.056	33.12394	-117.32296		FR	2	Palomar Airport Rd to 5 NB	1			
1100348	5	S	11	73	66000	18.93	18.821	32.746776	-117.19189		FR	1	Old Town Ave to 5 SB	1			
1100353	5	S	11	73	66000	22.082	21.973	32.788012	-117.207155		FR	2	Clairemont Dr EB to 5 SB	1			
1100363	5	S	11	73	66000	26.75	26.641	32.848811	-117.235604		FR	2	Gilman Dr to 5 SB	1			
1100369	5	S	11	73	66000	28.464	28.355	32.87259	-117.229295		FR	2	La Jolla Village Dr WB to 5 SB	1			
1100372	5	S	11	73	66000	32.805	32.663	32.930855	-117.241058		FR	1	Carmel Valley Rd to 5 SB	1			
1100377	5	S	11	73	66000	34.303	34.161	32.952353	-117.244277		FR	2	Del Mar Heights Rd WB to 5 SB	1			
1100381	5	S	11	73	66000	36.277	36.135	32.979922	-117.253241		FR	2	Via de la Valle WB to 5 SB	1			
1100384	5	S	11	73	66000	37.403	37.261	32.995955	-117.25672		FR	2	Lomas Santa Fe Dr WB to 5 SB	1			
1100387	5	S	11	73	22678	38.581	38.439	33.010643	-117.265228		FR	1	Manchester Ave to 5 SB	1			
1100390	5	S	11	73	22678	39.827	39.685	33.02625	-117.274915		FR	1	Birmingham Dr to 5 SB	1			
1100393	5	S	11	73	22678	40.625	40.483	33.036347	-117.281649		FR	1	Santa Fe Dr to 5 SB	1			
1100396	5	S	11	73	22678	41.527	41.385	33.048438	-117.287351		FR	2	Encinitas Blvd to 5 SB	1			
1100407	5	S	11	73	11194	47.097	46.955	33.122973	-117.322702		FR	2	Palomar Airport Rd WB to 5 SB	1			
1100416	8	E	11	73	66000	5.899	7.856	32.778587	-117.107869		FR	1	Texas St NB to 8 EB	1			
1100434	8	W	11	73	66000	8.933	10.89	32.777676	-117.05636		FR	1	Waring Rd to 8 WB	1			
1100451	8	W	11	73	21712	13.41	15.367	32.779483	-116.984331		FR	1	Jackson Dr to 8 WB	1			
1100454	8	W	11	73	21712	14.01	15.967	32.786528	-116.978673		FR	2	La Mesa Blvd to 8 WB	1			
1100461	8	W	11	73	21712	14.714	16.671	32.796708	-116.977003		FR	1	Severin Dr to 8 WB	1			
1100475	8	W	11	73	21712	17.511	19.468	32.803141	-116.933139		FR	2	67 SB to 8 WB	1			
1100478	8	W	11	73	21712	16.465	18.422	32.803162	-116.951001		FR	2	Mollison Ave to 8 WB	1			
